City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,chengde,40.9725,117.9361,31.31,54,69,2.12,CN,1723097421
285,new norfolk,-42.7826,147.0587,15.51,59,100,3.85,AU,1723097423
286,pauini,-7.7136,-66.9764,24.49,69,27,0.79,BR,1723097424
287,hami,42.8,93.45,20.21,71,100,0.71,CN,1723097425
288,leua,48.2156,18.6071,20.28,65,63,2.1,SK,1723097426
289,murgab,37.4966,61.9714,33.93,22,0,2.06,TM,1723097427
290,pedernales,18.0384,-71.744,27.84,73,91,1.64,DO,1723097428
291,socorro,31.6546,-106.3033,31.55,36,48,8.16,US,1723097430
292,itamarandiba,-17.8572,-42.8589,15.3,88,84,0.6,BR,1723097431
293,doka,13.5167,35.7667,24.4,79,57,4.13,SD,1723097432
294,mabaruma,8.2,-59.7833,22.24,100,19,0.66,GY,1723097433
295,hays,30.0502,-98.0336,28.65,76,8,3.8,US,1723097434
296,la seu d'urgell,42.3588,1.4614,22.07,74,77,1.4,ES,1723097436
297,akureyri,65.6835,-18.0878,7.96,93,100,2.06,IS,1723097438
298,balabac,7.9868,117.0645,29.93,68,66,2.6,PH,1723097439
299,caorle,45.5966,12.8758,24.57,83,29,3.47,IT,1723097440
300,shingu,33.7333,135.9833,30.32,70,9,2.47,JP,1723097441
301,sengkang,-4.1279,120.0297,30.37,61,50,4.63,ID,1723097443
302,sao vicente,-23.9631,-46.3919,26.26,26,0,3.81,BR,1723097444
303,fort bragg,35.139,-79.006,24.14,95,100,8.75,US,1723097445
304,atar,20.5169,-13.0499,27.0,46,3,1.84,MR,1723097446
305,arraial do cabo,-22.9661,-42.0278,21.85,87,1,7.58,BR,1723097447
306,mangrol,21.1167,70.1167,28.56,77,66,7.02,IN,1723097448
307,jansath,29.3333,77.85,32.11,63,4,6.28,IN,1723097450
308,istgah-e rah ahan-e garmsar,35.2346,52.3094,40.35,8,6,8.56,IR,1723097451
309,coruripe,-10.1256,-36.1756,21.82,86,53,1.22,BR,1723097452
310,turpan,42.9333,89.1667,31.9,31,92,1.55,CN,1723097453
311,kudahuvadhoo,2.6708,72.8944,27.19,76,100,4.62,MV,1723097454
312,iskateley,67.6803,53.1512,14.57,53,0,2.33,RU,1723097456
313,scarborough,54.2797,-0.4044,14.88,87,63,2.68,GB,1723097457
314,vilyuchinsk,52.9306,158.4028,26.15,76,42,4.99,RU,1723097458
315,moussoro,13.6408,16.4901,26.01,77,100,5.08,TD,1723097459
316,kuqa,41.7278,82.9364,27.92,27,0,2.97,CN,1723097460
317,zhaotong,27.3167,103.7167,26.75,57,32,3.73,CN,1723097461
318,salinopolis,-0.6136,-47.3561,25.76,83,61,3.82,BR,1723097463
319,nong bua lamphu,17.2041,102.4407,31.9,62,43,1.99,TH,1723097464
320,ushtobe,45.2514,77.9838,36.41,13,0,2.98,KZ,1723097465
321,zhangye,38.9342,100.4517,26.95,28,100,12.51,CN,1723097466
322,homer,59.6425,-151.5483,14.47,88,100,3.6,US,1723097447
323,novo oriente,-5.5344,-40.7742,19.98,59,13,1.55,BR,1723097468
324,vorkuta,67.5,64.0,14.95,49,4,1.79,RU,1723097470
325,nabire,-3.3667,135.4833,29.24,69,72,1.75,ID,1723097471
326,winterset,41.3308,-94.0138,19.76,80,1,3.03,US,1723097472
327,sipalay,9.75,122.5,29.4,73,72,4.1,PH,1723097473
328,gargalianoi,37.0667,21.6333,27.42,55,2,1.01,GR,1723097474
329,smithers,54.7804,-127.1743,20.18,49,0,0.0,CA,1723097477
330,moanda,-1.5575,13.2178,20.9,83,60,1.54,GA,1723097478
331,phalaborwa,-23.943,31.1411,19.6,53,0,2.67,ZA,1723097479
332,al jawf,29.5,38.75,30.21,27,1,4.71,SA,1723097480
333,lata,40.1629,-8.3327,16.71,95,37,0.72,PT,1723097481
334,victoria,22.2855,114.1577,35.03,78,18,1.34,HK,1723097446
335,northam,51.0333,-4.2167,17.59,95,67,7.26,GB,1723097484
336,kailua-kona,19.6406,-155.9956,25.33,89,41,1.88,US,1723097416
337,ulan bator,47.9077,106.8832,23.07,56,40,1.0,MN,1723097456
338,inari,68.906,27.0288,16.11,46,2,3.6,FI,1723097487
339,rajnagar,24.8833,79.9167,30.03,72,92,3.13,IN,1723097488
340,miri,4.4148,114.0089,29.23,73,91,2.31,MY,1723097489
341,viedma,-40.8135,-62.9967,5.19,70,92,4.05,AR,1723097490
342,bunia,1.5667,30.25,20.28,78,83,0.89,CD,1723097492
343,merizo village,13.2658,144.6691,29.1,85,95,1.82,GU,1723097493
344,cockburn town,21.4612,-71.1419,27.73,87,85,8.24,TC,1723097494
345,kafarati,10.383,11.0957,21.42,92,88,4.39,NG,1723097495
346,cabedelo,-6.9811,-34.8339,20.37,69,79,4.84,BR,1723097496
347,umm kaddadah,13.6017,26.6876,26.04,68,100,3.95,SD,1723097497
348,geraldton,-28.7667,114.6,20.23,68,75,5.14,AU,1723097499
349,tanjung pandan,-2.75,107.65,29.64,72,66,4.89,ID,1723097500
350,bikenibeu village,1.3673,173.1241,29.98,70,75,1.03,KI,1723097501
351,xiaoweizhai,26.1903,107.5125,28.55,72,74,4.83,CN,1723097502
352,port augusta,-32.5,137.7667,15.22,57,99,5.19,AU,1723097503
353,kapit,2.0167,112.9333,28.53,80,88,0.87,MY,1723097504
354,tuy hoa,13.0833,109.3,38.25,37,12,1.19,VN,1723097506
355,bengkulu,-3.8004,102.2655,28.89,69,56,5.2,ID,1723097507
356,vanino,49.0869,140.2543,21.47,89,97,0.76,RU,1723097508
357,falenki,58.3613,51.5946,14.13,96,100,3.54,RU,1723097509
358,nadym,65.5333,72.5167,13.97,55,71,5.35,RU,1723097342
359,nili,33.7218,66.1302,27.93,10,0,1.45,AF,1723097511
360,gudauri,42.4766,44.477,14.9,61,0,2.29,GE,1723097513
